seq,post_id,track,day_offset,time_pt,platform,image_url,caption_x,caption_long,status
1,R1,realtor_soi,1,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R1_six_months.png,"Month one. No listings, no closings, no cheques. That part is normal. What separates the agents still standing in month twelve is that they spent month one building a list. ProDesk AI's CRM & SOI Builder is where that list lives. https://prodesk-ai.com/crm-soi #newrealtor","Month one. No listings, no closings, no cheques.

That part is normal. What separates the agents still standing in month twelve is what they did with month one — and it was not waiting for a listing.

It was building a list. Every person who will eventually buy, sell, or refer, written down in one place, with a date beside their name.

ProDesk AI's CRM & SOI Builder is the place to keep that list.

prodesk-ai.com/crm-soi

- - -

第一個月。冇 listing、冇成交、冇支票。

呢個好正常。真正分開「做到第十二個月」同「做唔到」嘅,係第一個月做咗乜 —— 而唔係等 listing。

係起一張名單。每一個將來會買、會賣、會介紹客俾你嘅人,寫低喺同一個地方,每個名旁邊有個日期。

ProDesk AI 個 CRM & SOI Builder 就係放呢張名單嘅地方。

prodesk-ai.com/crm-soi

#newrealtor #realtorlife #realestateagent #sphereofinfluence #vancouverrealestate #bcrealestate #realestatecrm",ready
2,PM1,property_mgmt,2,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM1_inbox.png,"Forty emails before nine. A blocked sink, three lease questions, parking again, and one that actually matters buried in the middle. ProDesk AI reads the inbox and drafts each reply in your wording, with the tenant's history attached. https://prodesk-ai.com #propertymanagement","Forty emails before nine. A blocked sink, three lease questions, someone asking again about parking, and one that actually matters buried in the middle.

ProDesk AI reads the inbox and drafts each reply, in your wording, with the tenant's history attached. You read, adjust, send.

The inbox stops setting your morning.

prodesk-ai.com

- - -

九點前四十封 email。一個塞咗嘅星盆、三條租約問題、又有人再問泊車,而真正緊要嗰封就埋喺中間。

ProDesk AI 會讀個 inbox,逐封草擬回覆,用你嘅語氣,附埋個租客嘅紀錄。你睇、你改、你發。

你個朝早唔再由 inbox 話事。

prodesk-ai.com

#propertymanagement #propertymanager #landlord #proptech #vancouverbusiness #bcbusiness",ready
3,RE1,realtor,3,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE1_at_a_showing.png,"You are standing in someone's kitchen with a buyer and the phone rings. You can't take it. You also can't afford to miss it. ProDesk AI answers, takes the name, the number and what they're looking for, and texts you the summary. https://prodesk-ai.com #realtorlife","You are standing in someone's kitchen with a buyer. The phone rings. It is a new enquiry.

You cannot take it. You also cannot afford to miss it.

ProDesk AI answers, takes the name, the number and what they are looking for, and texts you the summary before you are back in the car.

prodesk-ai.com

- - -

你同買家企喺人哋廚房度。個電話響。係個新查詢。

你聽唔到。但你亦都蝕唔起漏咗佢。

ProDesk AI 幫你接,記低名、電話、佢想搵咩,喺你返到車入面之前已經 send 咗個 summary 俾你。

prodesk-ai.com

#realtorlife #realestateagent #realtortips #vancouverrealestate #bcrealestate #proptech",ready
4,R2,realtor_soi,4,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R2_already_have.png,You don't need to buy leads to start. You need to stop losing the people you already know. Two or three hundred names are already in your phone. The problem was never finding them — it's having no system saying who you haven't spoken to since March. https://prodesk-ai.com/crm-soi,"You do not need to buy leads to start. You need to stop losing the people you already know.

Your phone already has two, three hundred names in it. Old colleagues. Your dentist. The couple from your last job. Your cousin's friend who mentioned renting.

That is a sphere of influence. The problem was never finding them. It is that there is no system telling you who you have not spoken to since March.

prodesk-ai.com/crm-soi

- - -

唔使買 lead 先開始得。你要做嘅係停止流失你已經識嘅人。

你部電話入面已經有兩三百個名。舊同事。你個牙醫。上份工嗰對夫婦。你表姐個朋友,講過想租樓。

呢個就係 sphere of influence。難處從來唔係搵佢哋出嚟,而係冇一個系統話你知:邊個由三月到而家你都未傾過。

prodesk-ai.com/crm-soi

#sphereofinfluence #newrealtor #realtorlife #realestateagent #realtortips #bcrealestate",ready
5,PM2,property_mgmt,5,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM2_vacancy.png,"A vacancy costs money every day it stays a vacancy. Most of that cost is not the market — it is reply speed. Rental enquiries are checked about every five minutes, a reply drafted, a viewing time offered, and you get a text. https://prodesk-ai.com #propertymanager","A vacancy costs money every day it stays a vacancy. Most of that cost is not the market — it is reply speed.

Rental enquiries are checked about every five minutes. A reply is drafted, a viewing time is offered, and you get a text with the details.

The enquiry that came in at 8pm is not still sitting there at 9am.

prodesk-ai.com

- - -

一個空置單位,空多一日就蝕多一日。而大部分成本唔係市場問題,係回覆速度問題。

出租查詢大約每五分鐘查一次。系統草擬好回覆、提出睇樓時間,再 send 短訊連細節俾你。

夜晚八點入嚟嗰個查詢,唔會擺到第二朝九點都仲喺度。

prodesk-ai.com

#propertymanagement #rentals #landlord #propertymanager #bcbusiness #proptech",ready
6,RE2,realtor,6,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE2_five_minutes.png,"An enquiry sits in your inbox, and every hour it sits there they are emailing someone else too. Your inbox is checked about every five minutes: a reply drafted, a consultation time offered, and a text when they confirm. https://prodesk-ai.com #realestateagent","An enquiry sits in your inbox. Every hour it sits there, they are emailing someone else too.

Your inbox is checked about every five minutes. A reply is drafted, a consultation time is offered, and when they confirm you get a text.

You come back to a booked appointment, not a backlog.

prodesk-ai.com

- - -

一個查詢擺喺你 inbox 度。佢擺得一個鐘,對方就同時 email 緊另一個經紀。

你個 inbox 大約每五分鐘查一次。系統草擬回覆、提出諮詢時間,對方確認咗就 send 短訊俾你。

你返到嚟見到嘅係一個約好咗嘅會面,唔係一堆積壓。

prodesk-ai.com

#realestateagent #realtorlife #realtortips #newrealtor #bcrealestate #proptech",ready
7,R3,realtor_soi,7,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R3_import.png,"Your list is usually already somewhere — a spreadsheet, an exported contact file, a PDF from the old brokerage. CRM & SOI Builder imports from CSV or XLSX, a Google Sheet link, or a PDF, and creates the contacts. No re-typing 300 names. https://prodesk-ai.com/crm-soi #realestatecrm","The list is usually already somewhere — a spreadsheet, an exported contact file, a PDF from your old brokerage.

CRM & SOI Builder imports from three places: a CSV or XLSX file, a Google Sheet link, or a PDF. It reads the file and creates the contacts.

You are not re-typing three hundred names to get started.

prodesk-ai.com/crm-soi

- - -

張名單通常已經喺某個地方 —— 一個 spreadsheet、一個匯出嘅聯絡人檔、舊公司俾你嗰份 PDF。

CRM & SOI Builder 可以由三個地方匯入:CSV 或 XLSX 檔、Google Sheet 連結、或者 PDF。佢會讀個檔,直接開好啲聯絡人。

你唔使為咗開始,由頭打三百個名。

prodesk-ai.com/crm-soi

#realestatecrm #newrealtor #realtorlife #proptech #realtortips #bcrealestate",ready
8,PM3,property_mgmt,8,13:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/PM3_late_rent.png,"The rent is four days late. You know the tenant, you don't want the conversation, so it waits until day seven — and by then it's harder. Late Payment Follow-up sends the reminder on schedule, same neutral wording, every tenant equally. https://prodesk-ai.com #landlord","The rent is four days late. You know the tenant. You do not want the conversation, so it waits until day seven, and by then it is a harder conversation.

Late Payment Follow-up sends the reminder on schedule, in the same neutral wording every time, to every tenant equally.

Consistent beats awkward. It is also easier to defend later.

prodesk-ai.com

- - -

租金遲咗四日。你識個租客,你唔想開口,於是拖到第七日 —— 到嗰陣就更難開口。

Late Payment Follow-up 會按時發提醒,每次用同一套中性字眼,對每個租客都一樣。

一致好過尷尬。而且將來要解釋,亦都企得穩。

prodesk-ai.com

#propertymanagement #landlord #propertymanager #rentals #bcbusiness #vancouverbusiness",ready
9,RE3,realtor,9,19:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/RE3_draft_re.png,"Some agents want the AI to reply instantly. Others want to read every word first. Both are supported, and it's your switch. Draft is the default; auto-send is opt-in, per inbox, whenever you decide you trust it. https://prodesk-ai.com #realtortips","Some agents want the AI to reply instantly. Others want to read every word first. Both are supported, and it is your switch.

Draft is the default. Auto-send is opt-in, per inbox, whenever you decide you trust it.

Your licence, your name, your call.

prodesk-ai.com

- - -

有啲經紀想 AI 即刻覆。有啲想每個字都親自睇過先。兩樣都做到,個掣喺你手。

預設係 Draft。Auto-send 要你自己開,逐個信箱,幾時信得過幾時開。

你嘅牌、你個名、你話事。

prodesk-ai.com

#realtorlife #realestateagent #realtortips #bcrealestate #proptech #newrealtor",ready
10,R4,realtor_soi,10,09:00,"X,LINKEDIN",https://raw.githubusercontent.com/Kenheung/ProDesk-AI/main/R4_checkins_due.png,"Anyone can add a contact. The job is remembering to come back to them in six weeks. Every contact carries a next check-in date, and the dashboard shows how many are due today — as a number on the front page, not buried in a tab. https://prodesk-ai.com/crm-soi #realtorlife","Anyone can add a contact. The job is remembering to come back to them in six weeks.

Every contact carries a next check-in date. The dashboard has a card that counts how many are due today. Not buried in a tab — on the front page, as a number.

A sphere of influence is not a list you own. It is a list you keep touching.

prodesk-ai.com/crm-soi

- - -

加個聯絡人邊個都做得到。難嘅係六個星期之後記得返轉頭搵佢。

每個聯絡人都有一個「下次 check-in」日期。個 dashboard 有一張卡,直接數今日有幾多個到期。唔係收埋喺某個 tab 入面 —— 係喺頭版,一個數字。

Sphere of influence 唔係一張你擁有嘅名單,係一張你不斷去掂嘅名單。

prodesk-ai.com/crm-soi

#realtortips #newrealtor #realtorlife #sphereofinfluence #realestatecrm #bcrealestate",ready
